Unnamed: 0,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_url,incident_dateonly_extinguished,incident_dateonly_created,geometry,index,Air max,Bulb wet,County,Date,ETo,Evap,Precip,RH max,Soil max,Solar,Wind dir,Wx,dry,Air min,Soil min,RH min,obs,speed,type
557,Mariposa,63,-120.0088,37.36914,https://www.fire.ca.gov/incidents/2017/6/15/westfall-fire/,2018-01-09,2017-06-15,POINT (-120.0088 37.36914),1626,71.0,,Mariposa,2017-06-15,,,0.0,,,,,,,44.0,,,,,
558,Riverside,105,-116.884446,33.950382,https://www.fire.ca.gov/incidents/2017/6/15/canyon-fire/,2018-01-09,2017-06-15,POINT (-116.884446 33.950382),1626,101.15384615384615,,Riverside,2017-06-15,0.31000000000000005,,0.0009090909090909092,67.0,80.625,698.5555555555555,0.0,,,63.0,74.375,12.142857142857142,68.0,0.0,
559,Riverside,28,-117.11659,33.79925,https://www.fire.ca.gov/incidents/2017/6/15/nuevo-fire/,2018-01-09,2017-06-15,POINT (-117.11659 33.79925),1626,101.15384615384615,,Riverside,2017-06-15,0.31000000000000005,,0.0009090909090909092,67.0,80.625,698.5555555555555,0.0,,,63.0,74.375,12.142857142857142,68.0,0.0,
560,Butte,134,-121.75417,39.69717,https://www.fire.ca.gov/incidents/2017/6/16/skyway-fire/,2018-01-09,2017-06-16,POINT (-121.75417 39.69717),1627,97.0,,Butte,2017-06-16,0.28,0.39,0.0,75.0,80.0,705.0,0.0,,,66.0,74.0,35.0,,0.0,
562,Monterey,32,-120.93371,35.90092,https://www.fire.ca.gov/incidents/2017/6/16/shore-fire/,2018-01-09,2017-06-16,POINT (-120.93371 35.90092),1627,74.18181818181819,,Monterey,2017-06-16,0.24,,0.004545454545454546,93.75,69.75,677.5,0.0,,,51.81818181818182,66.25,58.375,,0.0,
563,Los Angeles,800,-118.60703,34.55607,https://www.fire.ca.gov/incidents/2017/6/17/lake-fire/,2018-01-09,2017-06-17,POINT (-118.60703 34.55607),1628,90.14285714285714,,Los Angeles,2017-06-17,0.2657142857142857,,0.0,92.16666666666669,73.57142857142857,724.8571428571429,0.0,,,60.28571428571429,70.14285714285714,38.833333333333336,,0.0,
564,Tehama,60,-122.83208,40.32063,https://www.fire.ca.gov/incidents/2017/6/18/bolla-fire/,2018-01-09,2017-06-18,POINT (-122.83208 40.32063),1629,91.33333333333331,,Tehama,2017-06-18,0.4,,0.006666666666666667,73.0,76.0,734.0,,,,58.0,72.0,21.0,,,
565,Riverside,10,-116.9669,33.90965,https://www.fire.ca.gov/incidents/2017/6/18/lambs-fire/,2018-01-09,2017-06-18,POINT (-116.9669 33.90965),1629,104.3846153846154,,Riverside,2017-06-18,0.30625,,0.0,69.85714285714286,81.77777777777777,718.5555555555555,0.0,,,67.23076923076923,76.66666666666667,18.285714285714285,80.0,0.0,
566,Riverside,153,-117.21314,33.98639,https://www.fire.ca.gov/incidents/2017/6/18/smiley-fire/,2018-01-09,2017-06-18,POINT (-117.21314 33.98639),1629,104.3846153846154,,Riverside,2017-06-18,0.30625,,0.0,69.85714285714286,81.77777777777777,718.5555555555555,0.0,,,67.23076923076923,76.66666666666667,18.285714285714285,80.0,0.0,
569,Riverside,26,-117.31924,33.71025,https://www.fire.ca.gov/incidents/2017/6/18/trellis-fire/,2018-01-09,2017-06-18,POINT (-117.31924 33.71025),1629,104.3846153846154,,Riverside,2017-06-18,0.30625,,0.0,69.85714285714286,81.77777777777777,718.5555555555555,0.0,,,67.23076923076923,76.66666666666667,18.285714285714285,80.0,0.0,
